 H: 11.50deg  R: -0.56deg  P: 109.81deg  aX: -0.37m/s2  aY: -9.27m/s2  aZ: -3.49m/s2 
 H: 11.38deg  R: -0.63deg  P: 109.81deg  aX: -0.23m/s2  aY: -9.45m/s2  aZ: -3.44m/s2 
 H: 11.31deg  R: -0.69deg  P: 109.81deg  aX: -0.22m/s2  aY: -9.33m/s2  aZ: -3.30m/s2 
 H: 11.31deg  R: -0.69deg  P: 109.75deg  aX: -0.07m/s2  aY: -9.45m/s2  aZ: -3.25m/s2 
 H: 11.25deg  R: -0.69deg  P: 109.75deg  aX: -0.22m/s2  aY: -9.62m/s2  aZ: -3.38m/s2 
 H: 11.25deg  R: -0.69deg  P: 109.75deg  aX: -0.30m/s2  aY: -9.35m/s2  aZ: -3.40m/s2 
 H: 11.19deg  R: -0.69deg  P: 109.69deg  aX: -0.20m/s2  aY: -9.53m/s2  aZ: -3.18m/s2 
 H: 11.19deg  R: -0.75deg  P: 109.69deg  aX: -0.05m/s2  aY: -9.58m/s2  aZ: -3.24m/s2 
 H: 11.13deg  R: -0.81deg  P: 109.69deg  aX: -0.26m/s2  aY: -9.49m/s2  aZ: -3.24m/s2 
 H: 11.06deg  R: -0.81deg  P: 109.69deg  aX: -0.22m/s2  aY: -9.46m/s2  aZ: -3.27m/s2 
 H: 11.06deg  R: -0.81deg  P: 109.69deg  aX: -0.37m/s2  aY: -9.31m/s2  aZ: -3.35m/s2 
 H: 11.00deg  R: -0.88deg  P: 109.69deg  aX: -0.27m/s2  aY: -9.36m/s2  aZ: -3.23m/s2 
 H: 11.00deg  R: -0.88deg  P: 109.63deg  aX: -0.13m/s2  aY: -9.74m/s2  aZ: -3.14m/s2 
 H: 11.06deg  R: -0.88deg  P: 109.63deg  aX: -0.43m/s2  aY: -9.31m/s2  aZ: -3.54m/s2 
 H: 11.00deg  R: -0.94deg  P: 109.63deg  aX: -0.34m/s2  aY: -9.26m/s2  aZ: -3.26m/s2 
 H: 11.00deg  R: -0.94deg  P: 109.63deg  aX: -0.20m/s2  aY: -9.46m/s2  aZ: -3.33m/s2 
 H: 11.00deg  R: -0.94deg  P: 109.56deg  aX: -0.14m/s2  aY: -9.54m/s2  aZ: -3.20m/s2 
 H: 11.13deg  R: -0.88deg  P: 109.56deg  aX: -0.46m/s2  aY: -9.16m/s2  aZ: -3.29m/s2 
 H: 11.19deg  R: -0.81deg  P: 109.56deg  aX: -0.22m/s2  aY: -9.48m/s2  aZ: -3.24m/s2 
 H: 11.25deg  R: -0.75deg  P: 109.56deg  aX: -0.05m/s2  aY: -9.42m/s2  aZ: -3.08m/s2 
 H: 11.38deg  R: -0.69deg  P: 109.63deg  aX: -0.26m/s2  aY: -9.42m/s2  aZ: -3.41m/s2 
 H: 11.38deg  R: -0.69deg  P: 109.63deg  aX: 0.05m/s2  aY: -9.61m/s2  aZ: -3.07m/s2 
 H: 11.44deg  R: -0.63deg  P: 109.69deg  aX: -0.04m/s2  aY: -9.58m/s2  aZ: -3.17m/s2 
 H: 11.44deg  R: -0.63deg  P: 109.69deg  aX: -0.31m/s2  aY: -9.26m/s2  aZ: -3.47m/s2 
 H: 11.38deg  R: -0.69deg  P: 109.75deg  aX: -0.30m/s2  aY: -9.39m/s2  aZ: -3.50m/s2 
 H: 11.44deg  R: -0.69deg  P: 109.81deg  aX: -0.20m/s2  aY: -9.40m/s2  aZ: -3.33m/s2 
 H: 11.31deg  R: -0.75deg  P: 109.88deg  aX: -0.06m/s2  aY: -9.44m/s2  aZ: -3.05m/s2 
 H: 11.31deg  R: -0.75deg  P: 109.94deg  aX: -0.17m/s2  aY: -9.27m/s2  aZ: -3.25m/s2 
 H: 11.25deg  R: -0.75deg  P: 109.94deg  aX: -0.31m/s2  aY: -9.18m/s2  aZ: -3.59m/s2 
 H: 11.25deg  R: -0.81deg  P: 110.00deg  aX: -0.15m/s2  aY: -9.76m/s2  aZ: -3.37m/s2 
 H: 11.25deg  R: -0.81deg  P: 110.00deg  aX: -0.34m/s2  aY: -9.30m/s2  aZ: -3.40m/s2 
 H: 11.19deg  R: -0.81deg  P: 110.06deg  aX: -0.21m/s2  aY: -9.28m/s2  aZ: -3.22m/s2 
 H: 11.19deg  R: -0.81deg  P: 110.06deg  aX: -0.25m/s2  aY: -9.10m/s2  aZ: -3.34m/s2 
 H: 11.25deg  R: -0.75deg  P: 110.06deg  aX: -0.21m/s2  aY: -9.53m/s2  aZ: -3.48m/s2 
 H: 11.31deg  R: -0.69deg  P: 110.13deg  aX: -0.22m/s2  aY: -9.53m/s2  aZ: -3.43m/s2 
 H: 11.31deg  R: -0.69deg  P: 110.13deg  aX: -0.34m/s2  aY: -9.37m/s2  aZ: -3.48m/s2 
 H: 11.31deg  R: -0.69deg  P: 110.13deg  aX: -0.09m/s2  aY: -9.55m/s2  aZ: -3.30m/s2 
 H: 11.25deg  R: -0.69deg  P: 110.13deg  aX: -0.22m/s2  aY: -9.34m/s2  aZ: -3.42m/s2 
 H: 11.25deg  R: -0.69deg  P: 110.13deg  aX: -0.19m/s2  aY: -9.51m/s2  aZ: -3.43m/s2 
 H: 11.25deg  R: -0.69deg  P: 110.13deg  aX: -0.30m/s2  aY: -9.41m/s2  aZ: -3.44m/s2 
 H: 11.25deg  R: -0.69deg  P: 110.13deg  aX: -0.32m/s2  aY: -9.40m/s2  aZ: -3.53m/s2 
 H: 11.19deg  R: -0.69deg  P: 110.13deg  aX: -0.08m/s2  aY: -9.16m/s2  aZ: -3.37m/s2 
 H: 11.13deg  R: -0.69deg  P: 110.13deg  aX: -0.29m/s2  aY: -9.62m/s2  aZ: -3.53m/s2 
 H: 11.19deg  R: -0.69deg  P: 110.13deg  aX: -0.39m/s2  aY: -9.38m/s2  aZ: -3.54m/s2 
 H: 11.19deg  R: -0.63deg  P: 110.06deg  aX: -0.29m/s2  aY: -9.32m/s2  aZ: -3.37m/s2 
 H: 11.13deg  R: -0.63deg  P: 110.06deg  aX: -0.15m/s2  aY: -9.30m/s2  aZ: -3.34m/s2 
 H: 11.13deg  R: -0.56deg  P: 110.00deg  aX: -0.07m/s2  aY: -9.28m/s2  aZ: -3.38m/s2 
 H: 11.19deg  R: -0.50deg  P: 109.94deg  aX: -0.18m/s2  aY: -9.59m/s2  aZ: -3.42m/s2 
 H: 11.19deg  R: -0.50deg  P: 109.94deg  aX: -0.26m/s2  aY: -9.64m/s2  aZ: -3.31m/s2 
 H: 11.19deg  R: -0.44deg  P: 109.88deg  aX: 0.06m/s2  aY: -9.35m/s2  aZ: -3.25m/s2 
 H: 11.19deg  R: -0.38deg  P: 109.81deg  aX: 0.02m/s2  aY: -9.25m/s2  aZ: -3.18m/s2 
 H: 11.19deg  R: -0.38deg  P: 109.81deg  aX: -0.22m/s2  aY: -9.24m/s2  aZ: -3.31m/s2 
 H: 11.25deg  R: -0.31deg  P: 109.81deg  aX: -0.11m/s2  aY: -9.65m/s2  aZ: -3.18m/s2 
 H: 11.25deg  R: -0.31deg  P: 109.81deg  aX: 0.07m/s2  aY: -9.54m/s2  aZ: -3.28m/s2 
 H: 11.25deg  R: -0.31deg  P: 109.81deg  aX: -0.09m/s2  aY: -9.23m/s2  aZ: -3.31m/s2 
