 H: 91.81deg  R: -19.75deg  P: -17.75deg  aX: -3.41m/s2  aY: 3.04m/s2  aZ: 8.80m/s2 
 H: 91.88deg  R: -19.81deg  P: -17.69deg  aX: -3.22m/s2  aY: 2.90m/s2  aZ: 9.03m/s2 
 H: 91.88deg  R: -19.88deg  P: -17.56deg  aX: -3.48m/s2  aY: 2.84m/s2  aZ: 8.73m/s2 
 H: 91.88deg  R: -19.94deg  P: -17.50deg  aX: -3.18m/s2  aY: 2.85m/s2  aZ: 9.30m/s2 
 H: 91.81deg  R: -20.00deg  P: -17.38deg  aX: -3.35m/s2  aY: 2.91m/s2  aZ: 8.95m/s2 
 H: 91.75deg  R: -20.06deg  P: -17.31deg  aX: -3.29m/s2  aY: 2.93m/s2  aZ: 9.18m/s2 
 H: 91.69deg  R: -20.06deg  P: -17.25deg  aX: -3.23m/s2  aY: 3.17m/s2  aZ: 8.77m/s2 
 H: 91.69deg  R: -20.13deg  P: -17.13deg  aX: -2.95m/s2  aY: 3.31m/s2  aZ: 8.99m/s2 
 H: 91.63deg  R: -20.13deg  P: -17.06deg  aX: -2.95m/s2  aY: 3.10m/s2  aZ: 8.67m/s2 
 H: 91.56deg  R: -20.19deg  P: -16.94deg  aX: -2.63m/s2  aY: 2.43m/s2  aZ: 9.00m/s2 
 H: 91.44deg  R: -20.19deg  P: -16.81deg  aX: -2.83m/s2  aY: 2.46m/s2  aZ: 8.90m/s2 
 H: 91.31deg  R: -20.19deg  P: -16.69deg  aX: -2.98m/s2  aY: 2.78m/s2  aZ: 8.71m/s2 
 H: 91.19deg  R: -20.13deg  P: -16.56deg  aX: -3.10m/s2  aY: 2.84m/s2  aZ: 9.16m/s2 
 H: 91.00deg  R: -20.06deg  P: -16.50deg  aX: -3.35m/s2  aY: 2.90m/s2  aZ: 8.95m/s2 
 H: 90.81deg  R: -20.00deg  P: -16.31deg  aX: -3.08m/s2  aY: 2.55m/s2  aZ: 8.72m/s2 
 H: 90.81deg  R: -20.00deg  P: -16.25deg  aX: -3.44m/s2  aY: 2.72m/s2  aZ: 8.94m/s2 
