 H: 148.50deg  R: 19.63deg  P: -79.13deg  aX: 3.58m/s2  aY: 8.89m/s2  aZ: 1.62m/s2 
 H: 148.56deg  R: 19.56deg  P: -79.13deg  aX: 3.50m/s2  aY: 8.85m/s2  aZ: 1.61m/s2 
 H: 148.63deg  R: 19.56deg  P: -79.13deg  aX: 3.37m/s2  aY: 8.80m/s2  aZ: 1.61m/s2 
 H: 148.63deg  R: 19.63deg  P: -79.13deg  aX: 3.39m/s2  aY: 9.00m/s2  aZ: 1.72m/s2 
 H: 148.69deg  R: 19.63deg  P: -79.13deg  aX: 3.38m/s2  aY: 8.97m/s2  aZ: 1.67m/s2 
 H: 148.69deg  R: 19.63deg  P: -79.13deg  aX: 3.63m/s2  aY: 9.03m/s2  aZ: 1.63m/s2 
 H: 148.63deg  R: 19.63deg  P: -79.13deg  aX: 3.50m/s2  aY: 8.87m/s2  aZ: 1.62m/s2 
 H: 148.56deg  R: 19.69deg  P: -79.06deg  aX: 3.24m/s2  aY: 9.00m/s2  aZ: 1.72m/s2 
 H: 148.50deg  R: 19.69deg  P: -79.06deg  aX: 3.10m/s2  aY: 8.90m/s2  aZ: 1.71m/s2 
 H: 148.44deg  R: 19.69deg  P: -79.00deg  aX: 2.80m/s2  aY: 9.07m/s2  aZ: 1.76m/s2 
 H: 148.38deg  R: 19.69deg  P: -78.94deg  aX: 2.75m/s2  aY: 9.11m/s2  aZ: 1.62m/s2 
 H: 148.44deg  R: 19.75deg  P: -78.88deg  aX: 3.02m/s2  aY: 9.23m/s2  aZ: 1.83m/s2 
 H: 148.44deg  R: 19.75deg  P: -78.81deg  aX: 3.29m/s2  aY: 9.06m/s2  aZ: 1.76m/s2 
 H: 148.50deg  R: 19.75deg  P: -78.75deg  aX: 3.55m/s2  aY: 8.91m/s2  aZ: 1.79m/s2 
 H: 148.50deg  R: 19.75deg  P: -78.75deg  aX: 3.95m/s2  aY: 8.69m/s2  aZ: 1.78m/s2 
 H: 148.56deg  R: 19.75deg  P: -78.69deg  aX: 3.70m/s2  aY: 8.63m/s2  aZ: 1.75m/s2 
 H: 148.50deg  R: 19.81deg  P: -78.56deg  aX: 3.52m/s2  aY: 8.61m/s2  aZ: 1.75m/s2 
 H: 148.50deg  R: 19.81deg  P: -78.50deg  aX: 3.16m/s2  aY: 8.84m/s2  aZ: 1.94m/s2 
 H: 148.56deg  R: 19.81deg  P: -78.50deg  aX: 3.36m/s2  aY: 8.86m/s2  aZ: 2.01m/s2 
 H: 148.63deg  R: 19.81deg  P: -78.38deg  aX: 3.34m/s2  aY: 8.74m/s2  aZ: 1.71m/s2 
 H: 148.63deg  R: 19.81deg  P: -78.31deg  aX: 2.78m/s2  aY: 9.08m/s2  aZ: 1.78m/s2 
 H: 148.69deg  R: 19.81deg  P: -78.31deg  aX: 2.82m/s2  aY: 9.17m/s2  aZ: 1.76m/s2 
 H: 148.75deg  R: 19.81deg  P: -78.25deg  aX: 3.03m/s2  aY: 9.31m/s2  aZ: 1.76m/s2 
 H: 148.81deg  R: 19.81deg  P: -78.13deg  aX: 2.97m/s2  aY: 9.02m/s2  aZ: 1.72m/s2 
 H: 148.88deg  R: 19.81deg  P: -78.13deg  aX: 3.19m/s2  aY: 9.13m/s2  aZ: 1.80m/s2 
 H: 148.94deg  R: 19.75deg  P: -78.06deg  aX: 3.25m/s2  aY: 9.15m/s2  aZ: 1.85m/s2 
 H: 148.94deg  R: 19.75deg  P: -78.06deg  aX: 3.44m/s2  aY: 8.70m/s2  aZ: 1.95m/s2 
 H: 148.94deg  R: 19.75deg  P: -78.00deg  aX: 3.36m/s2  aY: 8.73m/s2  aZ: 1.98m/s2 
 H: 148.88deg  R: 19.81deg  P: -78.00deg  aX: 3.10m/s2  aY: 8.79m/s2  aZ: 2.05m/s2 
 H: 148.88deg  R: 19.81deg  P: -78.00deg  aX: 3.69m/s2  aY: 8.81m/s2  aZ: 2.00m/s2 
 H: 148.94deg  R: 19.81deg  P: -77.94deg  aX: 3.58m/s2  aY: 8.68m/s2  aZ: 1.91m/s2 
 H: 148.94deg  R: 19.75deg  P: -77.94deg  aX: 3.40m/s2  aY: 8.75m/s2  aZ: 2.09m/s2 
 H: 148.94deg  R: 19.75deg  P: -77.94deg  aX: 3.01m/s2  aY: 8.85m/s2  aZ: 2.05m/s2 
 H: 149.00deg  R: 19.75deg  P: -77.94deg  aX: 3.11m/s2  aY: 8.97m/s2  aZ: 1.93m/s2 
 H: 149.06deg  R: 19.75deg  P: -77.94deg  aX: 3.43m/s2  aY: 9.09m/s2  aZ: 1.93m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.94deg  aX: 3.57m/s2  aY: 8.59m/s2  aZ: 1.79m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.88deg  aX: 3.55m/s2  aY: 8.57m/s2  aZ: 1.78m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.88deg  aX: 3.42m/s2  aY: 8.82m/s2  aZ: 1.78m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.88deg  aX: 3.27m/s2  aY: 8.97m/s2  aZ: 1.91m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.88deg  aX: 3.06m/s2  aY: 8.88m/s2  aZ: 1.81m/s2 
 H: 149.13deg  R: 19.75deg  P: -77.81deg  aX: 2.94m/s2  aY: 9.00m/s2  aZ: 1.93m/s2 
 H: 149.19deg  R: 19.75deg  P: -77.81deg  aX: 3.42m/s2  aY: 8.92m/s2  aZ: 2.11m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.56m/s2  aY: 8.78m/s2  aZ: 1.98m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.30m/s2  aY: 8.80m/s2  aZ: 1.82m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.22m/s2  aY: 8.91m/s2  aZ: 1.88m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.14m/s2  aY: 9.01m/s2  aZ: 1.92m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.21m/s2  aY: 8.97m/s2  aZ: 1.87m/s2 
 H: 149.31deg  R: 19.75deg  P: -77.81deg  aX: 3.20m/s2  aY: 8.88m/s2  aZ: 1.77m/s2 
 H: 149.31deg  R: 19.75deg  P: -77.81deg  aX: 3.43m/s2  aY: 8.99m/s2  aZ: 1.76m/s2 
 H: 149.31deg  R: 19.75deg  P: -77.81deg  aX: 3.33m/s2  aY: 8.97m/s2  aZ: 1.64m/s2 
 H: 149.25deg  R: 19.75deg  P: -77.81deg  aX: 3.00m/s2  aY: 9.16m/s2  aZ: 1.82m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 2.99m/s2  aY: 9.00m/s2  aZ: 1.80m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.02m/s2  aY: 9.04m/s2  aZ: 1.86m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.29m/s2  aY: 8.86m/s2  aZ: 1.85m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.23m/s2  aY: 8.87m/s2  aZ: 1.79m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.22m/s2  aY: 8.91m/s2  aZ: 1.88m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.10m/s2  aY: 8.93m/s2  aZ: 1.99m/s2 
 H: 149.25deg  R: 19.69deg  P: -77.81deg  aX: 3.17m/s2  aY: 8.99m/s2  aZ: 1.88m/s2 
 H: 149.31deg  R: 19.69deg  P: -77.81deg  aX: 3.31m/s2  aY: 8.98m/s2  aZ: 1.81m/s2 
 H: 149.31deg  R: 19.63deg  P: -77.81deg  aX: 3.23m/s2  aY: 8.88m/s2  aZ: 1.92m/s2 
 H: 149.38deg  R: 19.63deg  P: -77.81deg  aX: 3.42m/s2  aY: 8.85m/s2  aZ: 2.04m/s2 
 H: 149.38deg  R: 19.63deg  P: -77.81deg  aX: 3.50m/s2  aY: 8.71m/s2  aZ: 1.97m/s2 
 H: 149.31deg  R: 19.63deg  P: -77.81deg  aX: 3.48m/s2  aY: 8.76m/s2  aZ: 2.05m/s2 
 H: 149.31deg  R: 19.69deg  P: -77.81deg  aX: 3.22m/s2  aY: 8.73m/s2  aZ: 2.30m/s2 
 H: 149.31deg  R: 19.63deg  P: -77.81deg  aX: 3.40m/s2  aY: 8.73m/s2  aZ: 2.18m/s2 
 H: 149.38deg  R: 19.63deg  P: -77.81deg  aX: 3.48m/s2  aY: 8.72m/s2  aZ: 2.07m/s2 
 H: 149.38deg  R: 19.63deg  P: -77.81deg  aX: 3.31m/s2  aY: 8.81m/s2  aZ: 2.22m/s2 
 H: 149.38deg  R: 19.56deg  P: -77.81deg  aX: 2.86m/s2  aY: 9.01m/s2  aZ: 2.29m/s2 
 H: 149.44deg  R: 19.56deg  P: -77.88deg  aX: 2.95m/s2  aY: 8.85m/s2  aZ: 2.10m/s2 
 H: 149.50deg  R: 19.50deg  P: -77.94deg  aX: 3.34m/s2  aY: 8.88m/s2  aZ: 1.94m/s2 
 H: 149.56deg  R: 19.50deg  P: -78.00deg  aX: 3.60m/s2  aY: 8.83m/s2  aZ: 1.73m/s2 
 H: 149.56deg  R: 19.50deg  P: -78.06deg  aX: 3.61m/s2  aY: 8.91m/s2  aZ: 1.75m/s2 
 H: 149.56deg  R: 19.50deg  P: -78.06deg  aX: 3.64m/s2  aY: 8.82m/s2  aZ: 1.66m/s2 
 H: 149.56deg  R: 19.44deg  P: -78.13deg  aX: 3.22m/s2  aY: 8.90m/s2  aZ: 1.76m/s2 
 H: 149.50deg  R: 19.44deg  P: -78.13deg  aX: 2.83m/s2  aY: 9.07m/s2  aZ: 1.76m/s2 
 H: 149.50deg  R: 19.44deg  P: -78.13deg  aX: 2.70m/s2  aY: 9.13m/s2  aZ: 1.78m/s2 
 H: 149.56deg  R: 19.38deg  P: -78.13deg  aX: 3.03m/s2  aY: 9.27m/s2  aZ: 1.88m/s2 
 H: 149.63deg  R: 19.38deg  P: -78.19deg  aX: 3.08m/s2  aY: 9.14m/s2  aZ: 1.89m/s2 
 H: 149.63deg  R: 19.31deg  P: -78.19deg  aX: 3.23m/s2  aY: 8.90m/s2  aZ: 1.67m/s2 
 H: 149.69deg  R: 19.31deg  P: -78.19deg  aX: 3.16m/s2  aY: 8.90m/s2  aZ: 1.62m/s2 
 H: 149.63deg  R: 19.31deg  P: -78.25deg  aX: 3.10m/s2  aY: 9.02m/s2  aZ: 1.79m/s2 
 H: 149.63deg  R: 19.31deg  P: -78.25deg  aX: 3.19m/s2  aY: 9.13m/s2  aZ: 1.75m/s2 
 H: 149.69deg  R: 19.25deg  P: -78.25deg  aX: 3.11m/s2  aY: 8.91m/s2  aZ: 1.57m/s2 
 H: 149.69deg  R: 19.25deg  P: -78.25deg  aX: 3.08m/s2  aY: 9.09m/s2  aZ: 1.82m/s2 
 H: 149.75deg  R: 19.25deg  P: -78.25deg  aX: 3.12m/s2  aY: 8.87m/s2  aZ: 1.84m/s2 
 H: 149.81deg  R: 19.19deg  P: -78.25deg  aX: 3.03m/s2  aY: 8.83m/s2  aZ: 2.04m/s2 
 H: 149.88deg  R: 19.19deg  P: -78.25deg  aX: 3.21m/s2  aY: 9.02m/s2  aZ: 2.08m/s2 
 H: 149.94deg  R: 19.19deg  P: -78.25deg  aX: 3.14m/s2  aY: 8.95m/s2  aZ: 1.93m/s2 
 H: 150.00deg  R: 19.13deg  P: -78.31deg  aX: 2.72m/s2  aY: 8.90m/s2  aZ: 2.04m/s2 
 H: 150.06deg  R: 19.13deg  P: -78.31deg  aX: 2.81m/s2  aY: 8.90m/s2  aZ: 2.04m/s2 
 H: 150.19deg  R: 19.13deg  P: -78.38deg  aX: 3.43m/s2  aY: 8.91m/s2  aZ: 1.77m/s2 
 H: 150.25deg  R: 19.13deg  P: -78.44deg  aX: 3.60m/s2  aY: 8.93m/s2  aZ: 1.80m/s2 
 H: 150.31deg  R: 19.13deg  P: -78.50deg  aX: 3.53m/s2  aY: 8.86m/s2  aZ: 1.84m/s2 
