 H: 295.50deg  R: 4.81deg  P: 103.75deg  aX: 0.85m/s2  aY: -10.20m/s2  aZ: -2.45m/s2 
 H: 295.50deg  R: 4.75deg  P: 103.69deg  aX: 0.77m/s2  aY: -10.10m/s2  aZ: -2.26m/s2 
 H: 295.25deg  R: 4.63deg  P: 103.69deg  aX: 0.76m/s2  aY: -9.71m/s2  aZ: -2.31m/s2 
 H: 295.00deg  R: 4.50deg  P: 103.69deg  aX: 0.81m/s2  aY: -9.60m/s2  aZ: -2.23m/s2 
 H: 294.88deg  R: 4.38deg  P: 103.69deg  aX: 0.95m/s2  aY: -9.77m/s2  aZ: -2.10m/s2 
 H: 294.75deg  R: 4.31deg  P: 103.63deg  aX: 1.19m/s2  aY: -10.02m/s2  aZ: -2.26m/s2 
 H: 294.75deg  R: 4.25deg  P: 103.63deg  aX: 0.71m/s2  aY: -9.80m/s2  aZ: -2.22m/s2 
 H: 294.63deg  R: 4.13deg  P: 103.63deg  aX: 0.61m/s2  aY: -9.57m/s2  aZ: -2.31m/s2 
 H: 294.44deg  R: 4.00deg  P: 103.63deg  aX: 0.64m/s2  aY: -9.76m/s2  aZ: -2.25m/s2 
 H: 294.38deg  R: 3.94deg  P: 103.63deg  aX: 0.70m/s2  aY: -9.68m/s2  aZ: -2.25m/s2 
 H: 294.38deg  R: 3.94deg  P: 103.69deg  aX: 0.63m/s2  aY: -10.02m/s2  aZ: -2.20m/s2 
 H: 294.38deg  R: 3.94deg  P: 103.69deg  aX: 0.85m/s2  aY: -9.82m/s2  aZ: -2.17m/s2 
 H: 294.44deg  R: 4.00deg  P: 103.69deg  aX: 0.55m/s2  aY: -9.83m/s2  aZ: -2.38m/s2 
 H: 294.44deg  R: 4.06deg  P: 103.69deg  aX: 0.67m/s2  aY: -9.88m/s2  aZ: -2.44m/s2 
 H: 294.50deg  R: 4.13deg  P: 103.69deg  aX: 0.97m/s2  aY: -10.28m/s2  aZ: -2.01m/s2 
 H: 294.56deg  R: 4.19deg  P: 103.69deg  aX: 0.84m/s2  aY: -9.54m/s2  aZ: -2.28m/s2 
 H: 294.69deg  R: 4.31deg  P: 103.69deg  aX: 0.79m/s2  aY: -9.56m/s2  aZ: -2.30m/s2 
 H: 294.75deg  R: 4.38deg  P: 103.75deg  aX: 1.21m/s2  aY: -10.03m/s2  aZ: -2.43m/s2 
 H: 294.81deg  R: 4.38deg  P: 103.75deg  aX: 0.95m/s2  aY: -10.02m/s2  aZ: -2.41m/s2 
 H: 294.88deg  R: 4.44deg  P: 103.75deg  aX: 0.97m/s2  aY: -9.89m/s2  aZ: -2.26m/s2 
 H: 294.88deg  R: 4.44deg  P: 103.75deg  aX: 0.54m/s2  aY: -9.40m/s2  aZ: -2.22m/s2 
 H: 294.75deg  R: 4.38deg  P: 103.75deg  aX: 0.85m/s2  aY: -10.04m/s2  aZ: -2.52m/s2 
 H: 294.75deg  R: 4.38deg  P: 103.75deg  aX: 1.08m/s2  aY: -10.25m/s2  aZ: -2.45m/s2 
 H: 294.75deg  R: 4.38deg  P: 103.75deg  aX: 0.80m/s2  aY: -9.78m/s2  aZ: -2.53m/s2 
 H: 294.69deg  R: 4.38deg  P: 103.69deg  aX: 0.89m/s2  aY: -9.69m/s2  aZ: -2.39m/s2 
 H: 294.63deg  R: 4.31deg  P: 103.63deg  aX: 0.83m/s2  aY: -9.75m/s2  aZ: -2.27m/s2 
 H: 294.63deg  R: 4.31deg  P: 103.56deg  aX: 1.03m/s2  aY: -10.14m/s2  aZ: -2.33m/s2 
 H: 294.50deg  R: 4.25deg  P: 103.50deg  aX: 1.08m/s2  aY: -9.93m/s2  aZ: -2.18m/s2 
 H: 294.38deg  R: 4.13deg  P: 103.44deg  aX: 0.80m/s2  aY: -9.76m/s2  aZ: -2.33m/s2 
 H: 294.25deg  R: 4.00deg  P: 103.38deg  aX: 0.80m/s2  aY: -9.63m/s2  aZ: -1.99m/s2 
 H: 294.13deg  R: 3.88deg  P: 103.31deg  aX: 0.84m/s2  aY: -9.79m/s2  aZ: -2.21m/s2 
